Filename:	C:\Users\A2025\Documents\Service_1216\X_Band\HS\CH3205\2nd Batch\VoACAC.par	 Date: 04/16/2025   Time: 01:31

X [G]	Intensity
1126.038086	422.581055
1127.503662	601.581055
1128.969238	443.581055
1130.434814	467.581055
1131.900391	501.581055
1133.365845	475.581055
1134.831421	469.581055
1136.296997	519.581055
1137.762573	432.581055
1139.228149	562.581055
1140.693726	620.581055
1142.159302	809.581055
1143.624756	490.581055
1145.090332	643.581055
1146.555908	146.581055
1148.021484	313.581055
1149.487061	501.581055
1150.952637	448.581055
1152.418213	477.581055
1153.883789	343.581055
1155.349243	431.581055
1156.814819	241.581055
1158.280396	185.581055
1159.745972	333.581055
1161.211548	384.581055
1162.677124	331.581055
1164.142700	88.581055
1165.608154	353.581055
1167.073730	314.581055
1168.539307	657.581055
1170.004883	344.581055
1171.470459	109.581055
1172.936035	38.581055
1174.401611	360.581055
1175.867065	492.581055
1177.332642	617.581055
1178.798218	460.581055
1180.263794	332.581055
1181.729370	233.581055
1183.194946	528.581055
1184.660522	547.581055
1186.126099	267.581055
1187.591553	402.581055
1189.057129	308.581055
1190.522705	483.581055
1191.988281	672.581055
1193.453857	373.581055
1194.919434	341.581055
1196.385010	528.581055
1197.850464	520.581055
1199.316040	639.581055
1200.781616	1053.581055
1202.247192	767.581055
1203.712769	611.581055
1205.178345	499.581055
1206.643921	754.581055
1208.109375	770.581055
1209.574951	590.581055
1211.040527	302.581055
1212.506104	605.581055
1213.971680	321.581055
1215.437256	580.581055
1216.902832	589.581055
1218.368286	353.581055
1219.833862	649.581055
1221.299438	397.581055
1222.765015	672.581055
1224.230591	714.581055
1225.696167	346.581055
1227.161743	629.581055
1228.627319	461.581055
1230.092773	627.581055
1231.558350	566.581055
1233.023926	531.581055
1234.489502	562.581055
1235.955078	631.581055
1237.420654	485.581055
1238.886230	395.581055
1240.351685	550.581055
1241.817261	426.581055
1243.282837	437.581055
1244.748413	601.581055
1246.213989	645.581055
1247.679565	743.581055
1249.145142	596.581055
1250.610596	752.581055
1252.076172	601.581055
1253.541748	495.581055
1255.007324	371.581055
1256.472900	244.581055
1257.938477	332.581055
1259.404053	176.581055
1260.869507	274.581055
1262.335083	449.581055
1263.800659	371.581055
1265.266235	318.581055
1266.731812	675.581055
1268.197388	719.581055
1269.662964	435.581055
1271.128540	569.581055
1272.593994	547.581055
1274.059570	524.581055
1275.525146	982.581055
