NUM_O2,DENSITY_STEEPNESS,O2_MOVE_PROB_MIN,EXCITED_LIFETIME,Simulated_QY_Ru1,Simulated_QY_Ru2,Ru1_Events,Ru2_Events
180,0.3,0.05,40,0.003748558246828143,0.018251071258530392,6936,6301
180,0.3,0.1,20,0.011144502880040071,0.029161290322580646,7986,7750
180,0.3,0.1,30,0.004886831275720165,0.032826124123781844,7776,5849
180,0.3,0.1,40,0.0017467248908296944,0.02062365946213496,8015,6061
180,0.3,0.15,20,0.011489850631941785,0.027290705339485827,7833,7585
180,0.3,0.15,30,0.003115653040877368,0.01948051948051948,8024,7238
180,0.3,0.15,40,0.0022947475777664456,0.012853470437017995,7844,6613
180,0.5,0.05,20,0.013145412657541673,0.03172430952973376,7379,8038
180,0.5,0.05,30,0.006447995514437903,0.015859355790508976,7134,8134
180,0.5,0.05,40,0.0024529844644317253,0.016815034619188922,7338,7077
180,0.5,0.1,20,0.01340149212489638,0.027404024194543884,7238,8101
180,0.5,0.1,30,0.0055495397942609635,0.03964059196617336,7388,5676
180,0.5,0.1,40,0.003339827442248817,0.011971472236372899,7186,7852
180,0.5,0.15,20,0.016655196145905025,0.03849443969204448,7265,7014
180,0.5,0.15,30,0.004011906302575385,0.01808785529715762,7727,7353
180,0.5,0.15,40,0.0028200789622109417,0.01792860573075076,7092,6247
250,0.2,0.05,20,0.0042368606879854736,0.0348127600554785,9913,7210
250,0.2,0.05,30,0.0013411740431239039,0.015354586857514639,9693,7685
250,0.2,0.05,40,0.00031120331950207467,0.011599599026206501,9640,6983
250,0.2,0.1,20,0.005664533724955418,0.029297658862876254,9533,7475
250,0.2,0.1,30,0.0013787252094601761,0.014424304314526423,9429,7834
250,0.2,0.1,40,0.0003163889474794347,0.009025041311808821,9482,7867
250,0.2,0.15,20,0.005078827637287059,0.027605336151102892,9451,7571
250,0.2,0.15,30,0.002201112140871177,0.01870092790863669,8632,7005
250,0.2,0.15,40,0.0006672597864768683,0.00587034201123022,8992,7836
250,0.3,0.05,20,0.003794860674400954,0.02000459875833525,9223,8698
250,0.3,0.05,30,0.0010499790004199917,0.014093062811323047,9524,8231
250,0.3,0.05,40,0.00021021652301870928,0.005959202383680954,9514,8726
250,0.3,0.1,20,0.0038054968287526427,0.02005730659025788,9460,8725
250,0.3,0.1,30,0.0010758472296933835,0.011798355380765105,9295,8391
250,0.3,0.1,40,0.0007288629737609329,0.010922641994345927,9604,7782
250,0.3,0.15,20,0.005648490115142298,0.020585174048803053,9206,8647
250,0.3,0.15,30,0.0005273705305347537,0.010938017898574744,9481,9051
250,0.3,0.15,40,0.0004329004329004329,0.0053251756174937685,9240,8826
250,0.5,0.05,20,0.007903353279891612,0.023747889701744514,8857,8885
250,0.5,0.05,30,0.0015349194167306216,0.02450270056646028,9121,7591
250,0.5,0.05,40,0.0008030285648732362,0.004969574036511156,8717,9860
