Potential,Current,Potential_vs_Fc
0.284,-9.186e-07,-0.34500000000000003
0.285,-9.113e-07,-0.34400000000000003
0.286,-8.984e-07,-0.343
0.287,-8.912e-07,-0.342
0.288,-8.766e-07,-0.341
0.289,-8.722e-07,-0.34
0.29,-8.594e-07,-0.339
0.291,-8.512e-07,-0.338
0.292,-8.363e-07,-0.337
0.293,-8.31e-07,-0.336
0.294,-8.167e-07,-0.335
0.295,-8.089e-07,-0.334
0.296,-7.978e-07,-0.333
0.297,-7.903e-07,-0.332
0.298,-7.766e-07,-0.331
0.299,-7.701e-07,-0.33
0.3,-7.569e-07,-0.329
0.301,-7.509e-07,-0.328
0.302,-7.386e-07,-0.327
0.303,-7.308e-07,-0.326
0.304,-7.204e-07,-0.325
0.305,-7.196e-07,-0.324
0.306,-7.07e-07,-0.323
0.307,-6.923e-07,-0.322
0.308,-6.784e-07,-0.321
0.309,-6.747e-07,-0.32
0.31,-6.626e-07,-0.319
0.311,-6.555e-07,-0.318
0.312,-6.433e-07,-0.317
0.313,-6.376e-07,-0.316
0.314,-6.246e-07,-0.315
0.315,-6.181e-07,-0.314
0.316,-6.029e-07,-0.313
0.317,-5.982e-07,-0.312
0.318,-5.836e-07,-0.311
0.319,-5.766e-07,-0.31
0.32,-5.607e-07,-0.309
0.321,-5.543e-07,-0.308
0.322,-5.417e-07,-0.307
0.323,-5.326e-07,-0.306
0.324,-5.192e-07,-0.305
0.325,-5.131e-07,-0.304
0.326,-5.004e-07,-0.303
0.327,-4.917e-07,-0.302
0.328,-4.808e-07,-0.301
0.329,-4.735e-07,-0.3
0.33,-4.619e-07,-0.299
0.331,-4.556e-07,-0.298
0.332,-4.446e-07,-0.297
0.333,-4.378e-07,-0.296
0.334,-4.255e-07,-0.295
0.335,-4.197e-07,-0.294
0.336,-4.073e-07,-0.293
0.337,-4.011e-07,-0.292
0.338,-3.895e-07,-0.291
0.339,-3.832e-07,-0.29
0.34,-3.7e-07,-0.289
0.341,-3.638e-07,-0.288
0.342,-3.526e-07,-0.287
0.343,-3.452e-07,-0.286
0.344,-3.349e-07,-0.28500000000000003
0.345,-3.271e-07,-0.28400000000000003
0.346,-3.126e-07,-0.28300000000000003
0.347,-3.085e-07,-0.28200000000000003
0.348,-2.956e-07,-0.281
0.349,-2.896e-07,-0.28
0.35,-2.781e-07,-0.279
0.351,-2.713e-07,-0.278
0.352,-2.594e-07,-0.277
0.353,-2.525e-07,-0.276
0.354,-2.407e-07,-0.275
0.355,-2.346e-07,-0.274
0.356,-2.219e-07,-0.273
0.357,-2.167e-07,-0.272
0.358,-2.056e-07,-0.271
0.359,-1.974e-07,-0.27
0.36,-1.878e-07,-0.269
0.361,-1.818e-07,-0.268
0.362,-1.702e-07,-0.267
0.363,-1.65e-07,-0.266
0.364,-1.533e-07,-0.265
0.365,-1.466e-07,-0.264
0.366,-1.345e-07,-0.263
0.367,-1.289e-07,-0.262
0.368,-1.173e-07,-0.261
0.369,-1.112e-07,-0.26
0.37,-1.002e-07,-0.259
0.371,-9.416e-08,-0.258
0.372,-8.189e-08,-0.257
0.373,-7.639e-08,-0.256
0.374,-6.441e-08,-0.255
0.375,-5.705e-08,-0.254
0.376,-4.654e-08,-0.253
0.377,-4.006e-08,-0.252
0.378,-2.896e-08,-0.251
0.379,-2.307e-08,-0.25
0.38,-1.06e-08,-0.249
0.381,-6.48e-09,-0.248
0.382,6.873e-09,-0.247
0.383,1.365e-08,-0.246
0.384,2.445e-08,-0.245
0.385,2.867e-08,-0.244
0.386,4.124e-08,-0.243
0.387,4.703e-08,-0.242
0.388,5.911e-08,-0.241
0.389,6.382e-08,-0.24
0.39,7.59e-08,-0.239
0.391,8.208e-08,-0.238
0.392,9.131e-08,-0.237
0.393,9.73e-08,-0.236
0.394,1.09e-07,-0.235
0.395,1.155e-07,-0.23399999999999999
0.396,1.277e-07,-0.23299999999999998
0.397,1.332e-07,-0.23199999999999998
0.398,1.432e-07,-0.23099999999999998
0.399,1.504e-07,-0.22999999999999998
0.4,1.617e-07,-0.22899999999999998
0.401,1.677e-07,-0.22799999999999998
0.402,1.775e-07,-0.22699999999999998
0.403,1.846e-07,-0.22599999999999998
0.404,1.962e-07,-0.22499999999999998
0.405,2.005e-07,-0.22399999999999998
0.406,2.145e-07,-0.22299999999999998
0.407,2.195e-07,-0.22200000000000003
0.408,2.294e-07,-0.22100000000000003
0.409,2.382e-07,-0.22000000000000003
0.41,2.53e-07,-0.21900000000000003
0.411,2.552e-07,-0.21800000000000003
0.412,2.668e-07,-0.21700000000000003
0.413,2.712e-07,-0.21600000000000003
0.414,2.836e-07,-0.21500000000000002
0.415,2.894e-07,-0.21400000000000002
0.416,3.006e-07,-0.21300000000000002
0.417,3.061e-07,-0.21200000000000002
0.418,3.184e-07,-0.21100000000000002
0.419,3.241e-07,-0.21000000000000002
0.42,3.351e-07,-0.20900000000000002
0.421,3.394e-07,-0.20800000000000002
0.422,3.517e-07,-0.20700000000000002
0.423,3.581e-07,-0.20600000000000002
0.424,3.669e-07,-0.20500000000000002
0.425,3.75e-07,-0.20400000000000001
0.426,3.867e-07,-0.203
0.427,3.91e-07,-0.202
0.428,4.035e-07,-0.201
0.429,4.08e-07,-0.2
0.43,4.201e-07,-0.199
0.431,4.252e-07,-0.198
0.432,4.363e-07,-0.197
0.433,4.423e-07,-0.196
0.434,4.526e-07,-0.195
0.435,4.604e-07,-0.194
0.436,4.724e-07,-0.193
0.437,4.762e-07,-0.192
0.438,4.878e-07,-0.191
0.439,4.939e-07,-0.19
0.44,5.051e-07,-0.189
0.441,5.101e-07,-0.188
0.442,5.222e-07,-0.187
0.443,5.284e-07,-0.186
0.444,5.391e-07,-0.185
0.445,5.449e-07,-0.184
0.446,5.561e-07,-0.183
0.447,5.612e-07,-0.182
0.448,5.726e-07,-0.181
0.449,5.789e-07,-0.18
0.45,5.885e-07,-0.179
0.451,5.948e-07,-0.178
0.452,6.06e-07,-0.177
0.453,6.114e-07,-0.176
0.454,6.221e-07,-0.175
0.455,6.286e-07,-0.174
0.456,6.386e-07,-0.173
0.457,6.446e-07,-0.172
0.458,6.571e-07,-0.17099999999999999
0.459,6.641e-07,-0.16999999999999998
0.46,6.735e-07,-0.16899999999999998
0.461,6.817e-07,-0.16799999999999998
0.462,6.91e-07,-0.16699999999999998
0.463,6.98e-07,-0.16599999999999998
0.464,7.081e-07,-0.16499999999999998
0.465,7.144e-07,-0.16399999999999998
