Potential,Current,Potential_vs_Fc
-0.263,-2.097e-06,-0.892
-0.264,-2.105e-06,-0.893
-0.265,-2.109e-06,-0.894
-0.266,-2.116e-06,-0.895
-0.267,-2.12e-06,-0.896
-0.268,-2.129e-06,-0.897
-0.269,-2.133e-06,-0.898
-0.27,-2.141e-06,-0.899
-0.271,-2.145e-06,-0.9
-0.272,-2.153e-06,-0.901
-0.273,-2.157e-06,-0.902
-0.274,-2.163e-06,-0.903
-0.275,-2.168e-06,-0.904
-0.276,-2.177e-06,-0.905
-0.277,-2.18e-06,-0.906
-0.278,-2.188e-06,-0.907
-0.279,-2.193e-06,-0.908
-0.28,-2.201e-06,-0.909
-0.281,-2.205e-06,-0.91
-0.282,-2.215e-06,-0.911
-0.283,-2.218e-06,-0.9119999999999999
-0.284,-2.228e-06,-0.913
-0.285,-2.23e-06,-0.9139999999999999
-0.286,-2.24e-06,-0.915
-0.287,-2.244e-06,-0.9159999999999999
-0.288,-2.254e-06,-0.917
-0.289,-2.258e-06,-0.9179999999999999
-0.29,-2.266e-06,-0.919
-0.291,-2.271e-06,-0.9199999999999999
-0.292,-2.281e-06,-0.921
-0.293,-2.282e-06,-0.9219999999999999
-0.294,-2.293e-06,-0.923
-0.295,-2.297e-06,-0.9239999999999999
-0.296,-2.306e-06,-0.925
-0.297,-2.311e-06,-0.9259999999999999
-0.298,-2.32e-06,-0.927
-0.299,-2.324e-06,-0.9279999999999999
-0.3,-2.334e-06,-0.929
-0.301,-2.338e-06,-0.9299999999999999
-0.302,-2.347e-06,-0.931
-0.303,-2.351e-06,-0.9319999999999999
-0.304,-2.359e-06,-0.933
-0.305,-2.364e-06,-0.9339999999999999
-0.306,-2.373e-06,-0.935
-0.307,-2.378e-06,-0.9359999999999999
-0.308,-2.387e-06,-0.937
-0.309,-2.391e-06,-0.938
-0.31,-2.4e-06,-0.9390000000000001
-0.311,-2.403e-06,-0.94
-0.312,-2.413e-06,-0.9410000000000001
-0.313,-2.417e-06,-0.942
-0.314,-2.426e-06,-0.9430000000000001
-0.315,-2.43e-06,-0.944
-0.316,-2.44e-06,-0.9450000000000001
-0.317,-2.444e-06,-0.946
